p31,label_en,label_kk,label_ru
Q16334295,group of humans,адамдар тобы,группа людей
Q16349709,Baháʼí Faith of an area,Baháʼí Faith of an area,бахаи на территории
Q163740,nonprofit organization,коммерциялық емес ұйым,некоммерческая организация
Q1639168,climate zone,climate zone,климатическая зона
Q163967,peneplain,Пенеплен,пенеплен
Q1639780,regulatory agency,regulatory agency,регулирующий орган
Q164099,hoard,hoard,hoard
Q16463,lyceum,Лицей,лицей
Q16465938,seasonal river,seasonal river,пересыхающая река
Q165,sea,теңіз,море
Q16510064,sporting event,sporting event,спортивное мероприятие
Q16516287,wedding custom,wedding custom,свадебный обычай
Q16519632,scientific organization,scientific organization,научная организация
Q1656682,planned event,planned event,мероприятие
Q1659844,information ministry,information ministry,министерство информации
Q166118,archives,Мұрағат,архив
Q166140,registration authority,registration authority,регистрационный орган
Q16632355,futsal club,futsal club,футзальный клуб
Q1664720,institute,institute,институт
Q16653233,protected area of ​​Kazakhstan,Қорықша,заповедная зона Казахстана
Q166735,swamp,батпақ,заболоченный лес
Q16680663,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan
Q167037,corporation,Корпорация,корпорация
Q167170,multi-sport event,multi-sport event,мультиспортивное соревнование
Q16725895,visa policy,visa policy,визовая политика
Q167270,trademark,тауар таңбасы,товарный знак
Q16738832,criminal case,criminal case,уголовное дело
Q168247,famine,Ашаршылық,массовый голод
Q16887380,group,group,группа
Q1691434,United Nations treaty,United Nations treaty,договор или конвенция ООН
Q16917,hospital,аурухана,больница
Q16932246,South Saqqara Stone,South Saqqara Stone,Камень из Южной Саккары
Q16970,church building,шіркеу,христианский храм
Q17028018,hunting strategy,hunting strategy,hunting strategy
Q17076801,public health emergency of international concern,public health emergency of international concern,"чрезвычайная ситуация в области общественного здравоохранения, имеющая международное значение"
Q1708422,settlement site,settlement site,место поселения
Q17094485,industrial fire,industrial fire,промышленный пожар
Q17156793,American football team,American football team,клуб американского футбола
Q17232649,news website,news website,новостной сайт
Q17270000,football club,football club,футбольный клуб
Q17272692,IANA time zone,IANA time zone,часовой пояс IANA
Q17305522,data set of a specific country,data set of a specific country,набор данных ISO 3166-2 для конкретной страны
Q17315159,international association football match,international association football match,футбольный матч сборных
Q173387,grave,көр,могила
Q17362920,Wikimedia duplicated page,Wikimedia duplicated page,дублирующая страница
Q1747184,mass mortality event,mass mortality event,массовая смерть
Q174782,square,алаң,площадь
Q17505024,space agency,space agency,космическое агентство
Q17524420,aspect of history,aspect of history,исторический аспект
Q17544377,history of a country or state,history of a country or state,история страны
Q1756006,UCI Continental Team,UCI Continental Team,UCI Continental Team
Q1756477,league system,league system,система спортивных лиг
Q1758037,speaker,Спикер,спикер
Q1762059,film production company,film production company,кинокомпания
Q176799,military unit,Әскери бөлім,воинское формирование
Q177380,hot spring,Термальды су,геотермальный источник
Q177414,anticyclone,Антициклон,антициклон
Q1781180,condensation power station,condensation power station,конденсационная электростанция
Q178561,battle,Арпалыс,битва
Q1785733,environmental organization,environmental organization,природоохранная организация
Q178706,institution,Әлеуметтік ұйым,общественный институт
Q178790,labor union,Тред-юниондар,профессиональный союз
Q1788716,military decoration,military decoration,военная награда
Q1788820,defence ministry,defence ministry,министерство обороны
Q17898,LGBT rights by country or territory,LGBT rights by country or territory,права ЛГБТ на территории
Q179049,nature reserve,Қорық,заповедник
Q179057,explosion,қопарылыс,взрыв
Q1791610,cultural convention,cultural convention,cultural convention
Q179164,unitary state,Унитарлы мемлекет,унитарное государство
Q18043430,national timeline,national timeline,хронология истории страны
Q18127,record label,Дыбысжазба лейблі,лейбл звукозаписи
Q18142,tower block,tower block,высотное здание
Q181648,foreign policy,сыртқы саясат,внешняя политика
Q182103,pension fund,pension fund,пенсионный фонд
Q18247357,group of structures or buildings,group of structures or buildings,группа структур и зданий
Q18325242,ice hockey competition,ice hockey competition,турнир по хоккею с шайбой
Q183288,National Olympic Committee,Ұлттық Олимпиада комитеттері,Национальный олимпийский комитет
Q183342,federal city of Russia,federal city of Russia,город федерального значения в России
Q183366,territory,territory,территория
Q18340514,events in a specific year or time period,events in a specific year or time period,хроника в Википедии
Q18340550,Wikimedia timeline,Wikimedia timeline,статья — временная шкала
Q18369361,UN observance day,UN observance day,UN observance day
Q18388277,technology company,technology company,технологическая компания
Q18389209,economic corridor,economic corridor,economic corridor
Q18509232,fast food restaurant chain,fast food restaurant chain,сеть быстрого питания
Q185113,cape,Мүйіс,мыс
Q18536323,basketball league,basketball league,баскетбольная лига
Q18564543,international conference,international conference,международная конференция
Q18608583,recurring sporting event,recurring sporting event,повторяющееся спортивное событие
Q186117,timeline,timeline,хронология
Q18677266,order of merit,order of merit,орден за заслуги
Q18729324,razyezd,razyezd,разъезд как населённый пункт
Q1875630,aircraft fleet,aircraft fleet,история использования воздушного судна
Q187931,phrase,фраза,фраза
Q188025,salt lake,Тұзды көл,минеральное озеро
Q188055,siege,siege,осада
Q188451,music genre,музыка жанрлары,музыкальный жанр
Q188507,apartment,Пәтерді әрлеу,квартира
Q189004,college,Колледж,колледж
Q189533,academic degree,ғылыми дәреже,академическая степень
Q189819,ritual,Ритуал,ритуал
Q190429,depression,депрессия,геологическая депрессия
Q190752,supreme court,Жоғарғы сот,верховный суд
Q1916382,media conglomerate,media conglomerate,медиаконгломерат
Q192283,news agency,Ақпарат агенттігі,информационное агентство
Q192350,ministry,министрлік,министерство
Q192611,electoral unit,Сайлау округі,избирательный округ
Q192691,annual plant,Бір жылдық өсімдіктер,однолетние растения
Q192899,finance lease,Қаржы лизингі,лизинг
Q192914,cult of personality,жеке басқа табыну,культ личности
Q1933026,launch site,launch site,пусковая площадка
Q193424,web service,Веб-қызмет,веб-служба
Q19362195,geostationary satellite,geostationary satellite,геостационарный спутник
Q193622,order,Орден,орден
Q19386377,register,register,реестр
Q194188,spaceport,Ғарыш айлағы,космодром
Q19595382,Wikidata property for authority control for people,Wikidata property for authority control for people,свойство для нормативного контроля персоналий
Q196600,media franchise,media franchise,медиафраншиза
Q1968122,National Red Cross and Red Crescent society,National Red Cross and Red Crescent society,национальное общество Красного Креста либо Красного Полумесяца
Q1968435,national cuisine,national cuisine,национальная кухня
Q1969448,term,термин,термин
Q1973901,economic region,Экономикалық аудан,экономический район
Q19753333,nuclear weapons program,nuclear weapons program,программа ядерного оружия
Q1978718,unit of length,unit of length,единица измерения расстояния
Q19832486,locomotive class,locomotive class,серия локомотива
Q19847637,Wikidata property for an identifier,Wikidata property for an identifier,"свойство Викиданных, представляющее собой идентификатор"
Q19860854,destroyed building or structure,destroyed building or structure,утраченное здание или строение
Q19958368,culture of an area,culture of an area,культура территории
Q19973770,ministry of culture,ministry of culture,министерство культуры
Q19973795,ministry of energy,ministry of energy,министерство энергетики
Q19983480,ministry of communications,ministry of communications,министерство связи
Q2001305,television channel,television channel,телеканал
Q200141,necropolis,Некрополь,некрополь
Q200297,thermal power station,жылу электр станциясы,тепловая электростанция
Q20057844,Mormonism of an area,Mormonism of an area,мормонизм на территории
Q20057897,business enterprise,business enterprise,business enterprise
Q20097215,phosphorite deposit,phosphorite deposit,фосфоритовое месторождение
Q201676,funeral,funeral,похороны
Q2020153,academic conference,academic conference,научная конференция
Q2026833,garden square,garden square,сквер
Q2031615,short program,short program,Короткая программа
Q2031836,Eastern Orthodox church building,Eastern Orthodox church building,православный храм
Q2042028,ravine,шатқал,ущелье
Q204310,gendarmerie,жандармерия,жандармерия
Q205495,filling station,filling station,автомобильная заправочная станция
Q2056313,pastoral visit,pastoral visit,pastoral visit
Q20638319,UCI ProTeam,UCI ProTeam,UCI ProTeam
Q20639848,club cycling team,club cycling team,команда велоклуба
Q20646667,plain stage,plain stage,равнинный этап
Q20646668,mountain stage,mountain stage,горный этап
Q20646670,hilly stage,hilly stage,холмистый этап
Q20652655,amateur cycling team,amateur cycling team,любительская велокоманда
Q20653566,UCI Trade Team III,UCI Trade Team III,Groupe Sportif III
Q20680270,medium mountain stage,medium mountain stage,среднегорный этап
Q20719675,raion of the Soviet Union,raion of the Soviet Union,район СССР
Q207326,summit,Шың,вершина местности
Q20738667,under-23 national cycling team,under-23 national cycling team,национальная сборная по велоспорту U23
Q20784907,motorcycle racing team,motorcycle racing team,мотогоночная команда
